"","st_id","firstgen","ethniccode","ethniccode_cat","urm","gender","female","famincome","lowincomeflag","transfer","transfer_cred","international","ell","us_hs","cohort","cohort_2013","cohort_2014","cohort_2015","cohort_2016","cohort_2017","cohort_2018","englsr","mathsr","hsgpa"
"1","1343E4A4249C8EE",0,"WHITE",0,0,0,0,NA,0,1,3,0,NA,0,1991,0,0,0,0,0,0,NA,NA,NA
"2","AE6D6CD476584F0",0,"WHITE",0,0,1,1,NA,0,1,NA,0,NA,0,2001,0,0,0,0,0,0,NA,NA,NA
"3","8D3567AF3DA6BE0",0,"WHITE",0,0,0,0,NA,0,1,6,0,NA,0,1998,0,0,0,0,0,0,NA,NA,NA
"4","01A454AA1E3358B",0,"WHITE",0,0,0,0,NA,0,1,NA,0,NA,0,1997,0,0,0,0,0,0,NA,NA,NA
"5","36D09EC33D44582",0,"ASIAN",2,0,0,0,NA,0,1,NA,0,NA,0,1997,0,0,0,0,0,0,630,560,NA
"6","565C5D56729A5C1",0,"WHITE",0,0,1,1,NA,0,1,18,0,NA,0,1999,0,0,0,0,0,0,NA,NA,NA
"7","2E9B3B5D0D40FA2",0,"WHITE",0,0,0,0,NA,0,1,56,0,NA,1,2004,0,0,0,0,0,0,660,750,3.9
"8","3B35918669E5C91",0,"WHITE",0,0,0,0,NA,0,1,70,0,NA,0,2000,0,0,0,0,0,0,NA,NA,NA
"9","B7C79CBE0B0B211",0,"BLACK",1,1,1,1,NA,0,1,NA,0,NA,0,2001,0,0,0,0,0,0,450,500,NA
"10","056D548C4DB89E0",0,"WHITE",0,0,0,0,NA,0,1,NA,0,NA,0,2001,0,0,0,0,0,0,NA,NA,NA
"11","3C8BF5DACD6C0B9",1,"WHITE",0,0,0,0,NA,0,1,NA,0,NA,0,2002,0,0,0,0,0,0,NA,NA,NA
"12","9A20FD0C3C59FB4",0,"ASIAN",2,0,1,1,NA,0,1,24,0,NA,0,2004,0,0,0,0,0,0,660,710,NA
"13","54B334FCBF5E26D",0,"WHITE",0,0,0,0,NA,0,1,11,0,NA,1,2002,0,0,0,0,0,0,590,550,3.75
"14","51127BFFB544E06",0,"WHITE",0,0,1,1,NA,0,1,NA,0,NA,0,2002,0,0,0,0,0,0,600,560,NA
"15","E2424B2052A8C42",0,"WHITE",0,0,0,0,NA,0,1,18,0,NA,1,2001,0,0,0,0,0,0,NA,NA,3.1
"16","4A1BB48E210DD4D",0,"WHITE",0,0,0,0,NA,0,1,NA,0,NA,0,2003,0,0,0,0,0,0,620,510,NA
"17","1D0505666FAD91C",0,"WHITE",0,0,0,0,NA,0,1,NA,0,NA,0,2004,0,0,0,0,0,0,610,660,NA
